Crime category,Severity,Description,Location
Rape,High,"During a quiet evening, a heinous crime occurred, leaving the victim traumatized.",Emirates Hills
Willful Murder,High,"Late at night, a gunshot to the head killed the victim instantly.",Downtown Dubai
Human Trafficking,High,"Near a public park, the traffickers were arrested after victims were found in a basement.",Jumeirah Beach
Other,Low,"In the middle of the street, the suspect threatened the victim but did not cause physical harm.",City Walk
Willful Murder,High,"Near a public park, a gunshot to the head killed the victim instantly.",Deira
Human Trafficking,High,"Outside a busy mall, a human trafficking ring was uncovered, freeing multiple victims.",La Mer Beach
Human Trafficking,High,"During a quiet evening, the victims were sold into slavery after being trafficked.",Dubai Mall
Theft,Medium,"In broad daylight, a purse was snatched from the victim while they walked.",Mall of the Emirates
Theft,Medium,"During a quiet evening, the victim's backpack was stolen while they were distracted.",Palm Jumeirah
Burglary,Low,"During a quiet evening, the burglar entered the residence through a back door and stole valuables.",Emirates Hills
Aggravated Assault,High,"During a quiet evening, the victim was attacked with a blunt object, suffering severe trauma.",Al Qusais
Burglary,Low,"Near a public park, the suspect carried out a burglary while the owners were on vacation.",Al Barsha
Willful Murder,High,"At the break of dawn, the victim was killed with a sharp weapon in a fit of anger.",Dragon Mart
Aggravated Assault,High,"In the middle of the street, the attacker used brute force, leaving the victim with multiple fractures.",Business Bay
Burglary,Low,"In a deserted alley, the thief ransacked the house and fled with stolen goods.",Emirates Hills
Drugs,Medium,"In a crowded market, the police found the suspect with narcotics ready for sale.",Downtown Dubai
Theft,Medium,"In a deserted alley, the thief snuck into a parked car and stole personal belongings.",Global Village
Aggravated Assault,High,"During a quiet evening, the victim was severely injured after being struck with a crowbar.",Global Village
Drugs,Medium,"In broad daylight, the police raided the suspect's apartment and found narcotics.",Al Satwa
Rape,High,"Near a public park, the victim was forcefully assaulted in a parking lot.",Dubai Creek Harbour
Abduction,High,"In the middle of the street, the suspect forced the victim into a vehicle and drove away.",Al Maktoum International Airport
Aggravated Assault,High,"Late at night, the victim was attacked with a blunt object, suffering severe trauma.",Al Fahidi Historical District
Willful Murder,High,"In the middle of the street, an argument ended with the victim being strangled to death.",Jumeirah Beach
Theft,Medium,"At the break of dawn, the suspect broke into a vehicle and took valuable items.",Al Maktoum International Airport
Burglary,Low,"At the break of dawn, a break-in occurred while the owners were out, and cash was stolen.",City Walk
Abduction,High,"In the middle of the street, the victim was kidnapped while walking alone at night.",Al Khawaneej
Rape,High,"During a quiet evening, the victim was sexually assaulted while walking home.",Al Maktoum International Airport
Burglary,Low,"In a crowded market, a burglary took place in a suburban neighborhood, with expensive items stolen.",Business Bay
Burglary,Low,"Late at night, the thief ransacked the house and fled with stolen goods.",Jumeirah Beach
Rape,High,"In the middle of the street, a brutal assault left the victim emotionally and physically scarred.",Al Mamzar Beach
Other,Low,"In the middle of the street, a public nuisance was caused by the suspect during a protest.",City Walk
Burglary,Low,"At the break of dawn, the victim reported missing jewelry after a break-in.",Al Maktoum International Airport
Burglary,Low,"In a crowded market, the victim’s house was broken into, and various items were taken.",Jumeirah Village Circle
Theft,Medium,"During a quiet evening, the suspect stole electronics from a shop and fled the scene.",Jumeirah Village Circle
Theft,Medium,"Outside a busy mall, a bike was stolen from outside a cafe in broad daylight.",Dubai Creek Harbour
Human Trafficking,High,"During a quiet evening, the traffickers were arrested after victims were found in a basement.",Al Quoz
Burglary,Low,"At the break of dawn, the suspect carried out a burglary while the owners were on vacation.",La Mer Beach
Burglary,Low,"In the middle of the street, the victim’s house was broken into, and various items were taken.",Jebel Ali
Human Trafficking,High,"Outside a busy mall, the traffickers were arrested after victims were found in a basement.",Al Satwa
Human Trafficking,High,"During a quiet evening, a large-scale trafficking operation was dismantled by authorities.",La Mer Beach
Other,Low,"In a crowded market, the suspect threatened the victim but did not cause physical harm.",Dubai Creek Harbour
Burglary,Low,"In a crowded market, the burglar broke into the house and stole valuable electronics and jewelry.",Mall of the Emirates
Theft,Medium,"In a deserted alley, a bike was stolen from outside a cafe in broad daylight.",Al Quoz
Burglary,Low,"At the break of dawn, the victim reported missing jewelry after a break-in.",Dubai Marina
Aggravated Assault,High,"Late at night, a violent altercation left the victim unconscious on the ground.",Palm Jumeirah
Human Trafficking,High,"In the middle of the street, the traffickers held their victims in inhumane conditions.",Jumeirah Beach
Willful Murder,High,"In a crowded market, a gunshot to the head killed the victim instantly.",Palm Jumeirah
Burglary,Low,"Late at night, the burglar broke into the house and stole valuable electronics and jewelry.",La Mer Beach
Abduction,High,"Outside a busy mall, the suspect forced the victim into a vehicle and drove away.",Jumeirah Beach
Abduction,High,"In the middle of the street, a child was taken from their home while the parents were away.",Deira
Burglary,Low,"In a deserted alley, the burglar entered the residence through a back door and stole valuables.",Dubai Creek Harbour
Other,Low,"Outside a busy mall, the suspect destroyed the victim's car as an act of revenge.",Downtown Dubai
Burglary,Low,"In a crowded market, the suspect shattered a window and took personal belongings.",Al Fahidi Historical District
Burglary,Low,"In a deserted alley, a break-in occurred while the owners were out, and cash was stolen.",Al Khawaneej
Other,Low,"Near a public park, a suspect was involved in a petty dispute at a market.",Emirates Hills
Drugs,Medium,"In a crowded market, the police found the suspect with narcotics ready for sale.",Jumeirah Beach
Robbery,Medium,"During a quiet evening, the victim was attacked and their belongings were stolen.",Al Satwa
Aggravated Assault,High,"In broad daylight, the victim was punched repeatedly in a brutal attack.",Emirates Hills
Theft,Medium,"Late at night, a purse was snatched from the victim while they walked.",Al Mamzar Beach
Theft,Medium,"In a crowded market, the suspect stole a mobile phone from the victim's bag.",Jumeirah Village Circle
Other,Low,"Near a public park, a minor disturbance broke out at a local festival.",City Walk
Rape,High,"In broad daylight, the victim was attacked and violated by the suspect in a secluded area.",City Walk
Aggravated Assault,High,"During a quiet evening, the attacker used brute force, leaving the victim with multiple fractures.",Al Qusais
Human Trafficking,High,"In the middle of the street, a human trafficking ring was uncovered, freeing multiple victims.",Al Mamzar Beach
Drugs,Medium,"At the break of dawn, a drug operation was shut down, and the suspect was arrested.",Mall of the Emirates
Human Trafficking,High,"In a crowded market, the victims were sold into slavery after being trafficked.",Jebel Ali
Rape,High,"In a crowded market, a brutal assault left the victim emotionally and physically scarred.",La Mer Beach
Aggravated Assault,High,"Outside a busy mall, the victim was beaten with a metal rod, suffering severe injuries.",Al Satwa
Burglary,Low,"In broad daylight, a burglary took place in a suburban neighborhood, with expensive items stolen.",Deira
Rape,High,"In broad daylight, a heinous crime occurred, leaving the victim traumatized.",Dragon Mart
Robbery,Medium,"In a deserted alley, a robbery took place at a convenience store, with cash stolen.",Downtown Dubai
Aggravated Assault,High,"At the break of dawn, the suspect violently assaulted the victim, causing head injuries.",La Mer Beach
Other,Low,"In a crowded market, a public nuisance was caused by the suspect during a protest.",Palm Jumeirah
Theft,Medium,"During a quiet evening, a bike was stolen from outside a cafe in broad daylight.",Dubai Silicon Oasis
Human Trafficking,High,"At the break of dawn, the victim was kidnapped and trafficked across international borders.",Al Quoz
Willful Murder,High,"In the middle of the street, a gunshot to the head killed the victim instantly.",Al Satwa
Theft,Medium,"At the break of dawn, the suspect stole a mobile phone from the victim's bag.",Mall of the Emirates
Rape,High,"In the middle of the street, the victim was targeted and assaulted by the suspect.",Palm Jumeirah
Robbery,Medium,"In broad daylight, a thief broke into a home, stealing valuables and fleeing.",Downtown Dubai
Willful Murder,High,"In broad daylight, the killer planned the murder and executed the victim with precision.",Dubai Silicon Oasis
Burglary,Low,"Near a public park, the suspect carried out a burglary while the owners were on vacation.",Al Maktoum International Airport
Human Trafficking,High,"In a deserted alley, the suspect was involved in moving individuals across borders for exploitation.",Dubai Marina
Robbery,Medium,"Outside a busy mall, the victim was mugged while walking, and their valuables were taken.",Dubai Marina
Robbery,Medium,"In a crowded market, the suspect stormed into the store, demanding cash at gunpoint.",Emirates Hills
Burglary,Low,"In the middle of the street, a break-in occurred while the owners were out, and cash was stolen.",Al Satwa
Willful Murder,High,"In a crowded market, the suspect used a knife to fatally wound the victim in a rage.",Al Barsha
Robbery,Medium,"In the middle of the street, the suspect stormed into the store, demanding cash at gunpoint.",Al Khawaneej
Human Trafficking,High,"Late at night, the traffickers held their victims in inhumane conditions.",Emirates Hills
Rape,High,"Near a public park, the suspect brutally assaulted the victim in a dark alley.",Deira
Willful Murder,High,"During a quiet evening, the suspect used a knife to fatally wound the victim in a rage.",Dubai Mall
Abduction,High,"In broad daylight, a child was taken from their home while the parents were away.",Business Bay
Theft,Medium,"In a deserted alley, the suspect stole a mobile phone from the victim's bag.",Global Village
Robbery,Medium,"In a deserted alley, the suspect stormed into the store, demanding cash at gunpoint.",La Mer Beach
Robbery,Medium,"In a crowded market, the thief targeted a pedestrian, robbing them on the street.",Al Mamzar Beach
Willful Murder,High,"In a deserted alley, the victim was shot at close range during a gang dispute.",La Mer Beach
Other,Low,"In the middle of the street, a verbal argument escalated, but no physical altercation occurred.",La Mer Beach
Theft,Medium,"In broad daylight, a thief grabbed a laptop from a coffee shop and ran.",Al Mamzar Beach
Willful Murder,High,"At the break of dawn, the victim was left bleeding after being stabbed repeatedly by the suspect.",Downtown Dubai
Aggravated Assault,High,"In broad daylight, the victim was beaten with a metal rod, suffering severe injuries.",Dubai Creek Harbour
Robbery,Medium,"In broad daylight, the suspect robbed a passerby, taking their wallet.",Dragon Mart
Rape,High,"In a crowded market, the attacker cornered the victim and committed a violent act.",City Walk
Robbery,Medium,"Late at night, the thief targeted a pedestrian, robbing them on the street.",Al Qusais
Robbery,Medium,"In a crowded market, an armed robbery occurred at a bank, with hostages held.",Dubai Mall
Abduction,High,"Outside a busy mall, the suspect kidnapped the victim from a public park.",Al Qusais
Human Trafficking,High,"At the break of dawn, the suspect was caught smuggling individuals for forced labor.",Al Qusais
Burglary,Low,"In the middle of the street, the suspect shattered a window and took personal belongings.",Downtown Dubai
Abduction,High,"In a deserted alley, an abduction plot was carried out in a busy marketplace.",Dubai Mall
Human Trafficking,High,"In the middle of the street, a human trafficking ring was uncovered, freeing multiple victims.",Downtown Dubai
Willful Murder,High,"Late at night, the suspect violently attacked the victim, leading to death.",Al Khawaneej
Rape,High,"In the middle of the street, the suspect brutally assaulted the victim in a dark alley.",Al Barsha
Theft,Medium,"In the middle of the street, a purse was snatched from the victim while they walked.",Mall of the Emirates
Drugs,Medium,"In the middle of the street, the police raided the suspect's apartment and found narcotics.",Dubai Creek Harbour
Abduction,High,"In the middle of the street, an abduction plot was carried out in a busy marketplace.",Dubai Marina
Theft,Medium,"During a quiet evening, a shoplifting incident occurred at a high-end store.",Jebel Ali
Theft,Medium,"In broad daylight, a thief grabbed a laptop from a coffee shop and ran.",Emirates Hills
Burglary,Low,"At the break of dawn, a break-in occurred while the owners were out, and cash was stolen.",Mall of the Emirates
Abduction,High,"In a crowded market, the victim was dragged into a car and disappeared.",City Walk
Aggravated Assault,High,"In the middle of the street, the victim was attacked with a blunt object, suffering severe trauma.",Al Maktoum International Airport
Robbery,Medium,"In broad daylight, the victim was mugged while walking, and their valuables were taken.",Downtown Dubai
Drugs,Medium,"Outside a busy mall, the suspect was involved in drug distribution at a nightclub.",Al Maktoum International Airport
Theft,Medium,"Outside a busy mall, the victim's backpack was stolen while they were distracted.",Al Quoz
Drugs,Medium,"In the middle of the street, the police found the suspect with narcotics ready for sale.",Al Barsha
Other,Low,"Late at night, a suspect was involved in a petty dispute at a market.",Burj Khalifa
Human Trafficking,High,"Near a public park, the traffickers were arrested after victims were found in a basement.",Al Satwa
Burglary,Low,"During a quiet evening, the suspect carried out a burglary while the owners were on vacation.",City Walk
Rape,High,"Near a public park, the victim was forcefully assaulted in a parking lot.",City Walk
Human Trafficking,High,"In a deserted alley, a human trafficking ring was uncovered, freeing multiple victims.",La Mer Beach
Willful Murder,High,"In a crowded market, the suspect shot the victim multiple times, leaving them dead at the scene.",Al Mamzar Beach
Willful Murder,High,"Outside a busy mall, a gunshot to the head killed the victim instantly.",Al Khawaneej
Willful Murder,High,"Late at night, the victim was killed with a sharp weapon in a fit of anger.",Global Village
Human Trafficking,High,"Late at night, a large-scale trafficking operation was dismantled by authorities.",Emirates Hills
Robbery,Medium,"In a crowded market, the suspect robbed a passerby, taking their wallet.",Business Bay
Willful Murder,High,"In broad daylight, the killer ambushed the victim and stabbed them fatally.",La Mer Beach
Robbery,Medium,"In broad daylight, a thief broke into a home, stealing valuables and fleeing.",Burj Khalifa
Drugs,Medium,"In broad daylight, the suspect was caught selling illegal substances on a street corner.",Al Khawaneej
Robbery,Medium,"Outside a busy mall, the victim was attacked and their belongings were stolen.",Al Fahidi Historical District
Robbery,Medium,"Near a public park, the suspect stormed into the store, demanding cash at gunpoint.",Global Village
Rape,High,"In the middle of the street, the suspect brutally assaulted the victim in a dark alley.",Al Satwa
Human Trafficking,High,"Late at night, the victims were rescued from a hidden trafficking operation.",Burj Khalifa
Burglary,Low,"At the break of dawn, the victim’s house was broken into, and various items were taken.",Al Mamzar Beach
Theft,Medium,"In broad daylight, the suspect stole electronics from a shop and fled the scene.",Deira
Robbery,Medium,"During a quiet evening, a robbery took place at a convenience store, with cash stolen.",Emirates Hills
Robbery,Medium,"Near a public park, the suspect stormed into the store, demanding cash at gunpoint.",Al Khawaneej
Human Trafficking,High,"During a quiet evening, the victims were sold into slavery after being trafficked.",Al Quoz
Burglary,Low,"Outside a busy mall, the burglar entered the residence through a back door and stole valuables.",Al Satwa
Human Trafficking,High,"During a quiet evening, the victim was kidnapped and trafficked across international borders.",City Walk
Drugs,Medium,"Near a public park, the suspect was involved in drug distribution at a nightclub.",Burj Khalifa
Drugs,Medium,"Late at night, a drug operation was shut down, and the suspect was arrested.",Dubai Marina
Abduction,High,"Near a public park, an abduction plot was carried out in a busy marketplace.",Dubai Mall
Willful Murder,High,"At the break of dawn, the suspect violently attacked the victim, leading to death.",Dubai Silicon Oasis
Rape,High,"Late at night, the victim was sexually assaulted while walking home.",Al Satwa
Other,Low,"In a crowded market, the suspect vandalized public property, causing significant damage.",Dubai Creek Harbour
Aggravated Assault,High,"In broad daylight, the victim was punched repeatedly in a brutal attack.",Downtown Dubai
Other,Low,"In broad daylight, a verbal altercation occurred, but no one was physically harmed.",Al Fahidi Historical District
Drugs,Medium,"In broad daylight, the suspect was arrested during a drug deal in a busy area.",Al Mamzar Beach
Theft,Medium,"During a quiet evening, the suspect stole electronics from a shop and fled the scene.",Al Fahidi Historical District
Drugs,Medium,"At the break of dawn, a drug operation was shut down, and the suspect was arrested.",Al Fahidi Historical District
Burglary,Low,"Outside a busy mall, the burglar entered the residence through a back door and stole valuables.",Al Maktoum International Airport
Aggravated Assault,High,"During a quiet evening, the attacker assaulted the victim with a bat, breaking bones.",Burj Khalifa
Abduction,High,"Outside a busy mall, the victim was kidnapped while walking alone at night.",Mall of the Emirates
Robbery,Medium,"Late at night, a thief broke into a home, stealing valuables and fleeing.",Palm Jumeirah
Rape,High,"In the middle of the street, the victim was targeted and assaulted by the suspect.",Dubai Mall
Aggravated Assault,High,"Late at night, the victim was attacked with a blunt object, suffering severe trauma.",Al Fahidi Historical District
Human Trafficking,High,"Outside a busy mall, a large-scale trafficking operation was dismantled by authorities.",Al Khawaneej
Aggravated Assault,High,"In the middle of the street, the attacker used brute force, leaving the victim with multiple fractures.",Deira
Rape,High,"In the middle of the street, the victim was attacked and violated by the suspect in a secluded area.",Al Mamzar Beach
Human Trafficking,High,"Outside a busy mall, a large-scale trafficking operation was dismantled by authorities.",Al Satwa
Willful Murder,High,"Late at night, the suspect violently attacked the victim, leading to death.",Dubai Creek Harbour
Drugs,Medium,"Outside a busy mall, the suspect was arrested during a drug deal in a busy area.",Deira
Rape,High,"Near a public park, the victim was attacked and violated by the suspect in a secluded area.",Dubai Creek Harbour
Theft,Medium,"Near a public park, a bike was stolen from outside a cafe in broad daylight.",Business Bay
Other,Low,"In the middle of the street, a suspect was involved in a petty dispute at a market.",Al Maktoum International Airport
Rape,High,"During a quiet evening, a heinous crime occurred, leaving the victim traumatized.",Jumeirah Beach
Drugs,Medium,"During a quiet evening, a drug bust uncovered bags of heroin and cocaine.",City Walk
Robbery,Medium,"In broad daylight, the suspect used a weapon to intimidate and steal from the victim.",Dragon Mart
Other,Low,"In a crowded market, the suspect destroyed the victim's car as an act of revenge.",Global Village
Robbery,Medium,"In the middle of the street, a robbery took place at a convenience store, with cash stolen.",Business Bay
Aggravated Assault,High,"Outside a busy mall, a punch to the face knocked the victim unconscious.",Al Fahidi Historical District
Aggravated Assault,High,"In a crowded market, the attacker assaulted the victim with a bat, breaking bones.",Business Bay
Burglary,Low,"Late at night, the burglar entered the residence through a back door and stole valuables.",Al Satwa
